# Chunk-averaged data for fix bin1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx vy vz c_peratom[1] c_peratom[2] c_peratom[3] temp
0 92 43672908
  1 9.11396 469921 0.000660762 -0.00224867 4.11187 133832 133578 -893836 2370.16
  2 29.439 481534 0.00176484 -0.000893383 -0.00886208 -5748.59 -5688.76 -11124 301.769
  3 49.764 470401 -0.000872193 0.00140736 -0.00633932 -11797.1 -11758.9 -23507.1 301.492
  4 70.089 471912 -0.000437243 -0.000762343 -0.0245045 1520.48 1754.99 1820.64 300.994
  5 90.414 490965 -0.000475603 -0.000977282 0.0291398 15302.5 15936.1 33243.6 300.087
  6 110.739 470723 -0.00169975 0.00124857 0.0247765 -12090 -12048.1 -24883 300.565
  7 131.064 470413 -0.000583952 -0.00216315 -0.00718105 3976.32 4573.18 8017.77 300.73
  8 151.389 487816 0.00163903 0.000510607 0.0172903 -8188.08 -8178.93 -17641.3 300.882
  9 171.714 475371 -0.00036511 0.000759988 -0.0199477 10933.7 11292.3 24170.8 300.367
  10 192.039 470400 0.000865013 -0.000566586 -0.00321583 2087.47 1603.17 3880.23 299.578
  11 212.364 473737 0.000613546 0.000973007 0.000360794 774.081 1271.03 2439.81 300.302
  12 232.689 489411 0.00191888 -0.000856566 0.000670666 381.861 293.666 206.776 299.889
  13 253.014 470452 -0.000800208 -0.000294444 -0.003521 1639.09 1802.41 3663.14 300.04
  14 273.339 470477 0.00109611 -0.00154155 0.000743808 1261.19 -316.386 460.907 300.313
  15 293.664 490123 0.000327698 -0.000564977 -0.00235712 686.981 -75.4699 153.955 299.934
  16 313.989 473000 -0.00133901 -0.0011006 0.00172004 364.026 832.074 1199.84 300.255
  17 334.314 470400 -0.00151165 0.00195585 0.00187057 120.684 722.739 318.099 299.594
  18 354.639 477878 0.000585014 -0.0047228 -0.00151561 -984.379 -910.496 -2005.11 299.739
  19 374.964 485314 0.000911655 0.000188911 -0.000601451 -1613.45 -1424.28 -3577.09 300.099
  20 395.289 470408 0.000351592 8.48429e-05 0.000565276 -1428.21 -988.105 -2719.64 300.345
  21 415.614 470783 -5.95503e-05 0.00181087 -0.000760228 1275.69 2006.13 3433.32 300.036
  22 435.939 491665 0.000255272 0.00282424 -0.00282696 -6.25116 436.949 39.6254 300.396
  23 456.264 471152 -0.00335678 -0.00188107 -0.00062793 1187.39 1459.37 2704.35 300.009
  24 476.589 470401 0.00492632 -0.00212978 -0.00153811 1609.68 1486.22 2712.96 300.158
  25 496.914 483045 0.00320748 0.00201185 0.000948734 556.767 455.192 1132.12 299.945
  26 517.239 480153 -0.00245794 0.00191444 -0.00389442 938.247 890.216 1705.02 300.264
  27 537.564 470401 -0.000577598 0.00121716 -0.000641511 -1787.42 -943.995 -3384.98 299.925
  28 557.889 471842 0.00393498 0.00206415 -2.32838e-05 2207.51 1326.75 4289.24 300.453
  29 578.214 491193 -0.00149739 0.000136756 -0.00176812 -149.073 146.215 -459.441 299.544
  30 598.539 470565 0.000295705 0.000218754 0.00135685 530.49 -100.974 88.2523 299.687
  31 618.864 470418 -0.000490611 -0.000994889 0.000764216 -33.811 759.298 1045.02 299.889
  32 639.189 487806 0.00492886 0.00288307 0.00111397 384.664 -245.157 -237.431 299.894
  33 659.514 475376 0.000318262 0.00165005 0.00175002 392.669 -634.607 -555.072 299.781
  34 679.839 470400 -0.00223607 -0.000366815 -0.00121999 -83.545 -815.226 -901.716 300.068
  35 700.164 474679 0.00190157 0.000915857 -8.61026e-05 716.816 998.245 1122.04 300.044
  36 720.489 488482 -0.00346611 -0.00357023 0.00253328 2311.88 2421.87 5547.68 300.249
  37 740.814 470439 -0.00156583 0.00323325 -0.000769382 276.406 703.991 1032.15 300.184
  38 761.139 470529 -0.000420717 0.000657655 0.00123418 -374.686 -1552.02 -2115.94 300.028
  39 781.464 490631 0.000387476 0.00297454 8.30625e-05 1031.74 2063.86 2827.36 300.382
  40 801.789 472439 -0.00158439 0.00421834 -0.00218677 2043.19 2142.2 4592.55 300.04
  41 822.114 468748 -0.00104204 -0.0015246 0.00309837 1913.5 2043.27 588.811 300.303
  42 842.439 475794 0.000493746 0.000310576 -0.00144848 1921.74 2621.3 -245.016 299.976
  43 862.764 481983 -0.00051552 -0.00108955 -0.00206096 2795.42 3739.3 1706.51 300.582
  44 883.089 470384 -5.71819e-05 0.000965717 0.000904449 535.972 582.826 630.56 299.68
  45 903.414 471027 0.00177212 -0.00241916 0.0021185 -1303.48 -1925.38 -3322.03 300.489
  46 923.739 491659 3.23715e-05 -0.00095834 -0.000697845 1524.95 738.712 2323.24 300.35
  47 944.064 470914 -0.00319026 0.000876714 -0.0036648 484.619 -131.559 346.749 300.318
  48 964.389 470401 0.00290426 0.00411869 -0.00185943 1119.57 943.651 2089.22 300.143
  49 984.714 484455 -0.00174459 0.00175566 -0.00101182 248.274 -101.653 -512.392 299.591
  50 1005.04 478743 -0.000606136 0.00169534 -0.000352009 668.109 763.904 1550.54 300.16
  51 1025.36 470401 0.000822519 -0.00141032 -0.00163834 -1191.69 -1655.89 -2967.73 299.618
  52 1045.69 472546 -0.000423149 -0.000456101 -0.00112267 411.072 339.887 926.101 300.423
  53 1066.01 490547 0.00209297 -0.00104447 -0.00103454 121.336 -558.185 -841.989 300.036
  54 1086.34 470507 0.000230717 -0.00195043 -0.00075018 713.814 140.634 512.757 300.247
  55 1106.66 470435 0.00115823 0.000761039 -0.000375623 -190.16 -721.546 -1328.05 299.617
